New_clientroomId	New_name
5FAFDCFC-7EB8-E511-9C31-005056861309	Power Home Remodeling - Elkridge, MD - Medium Conference Room
60AFDCFC-7EB8-E511-9C31-005056861309	DTS- Teknion- 2007
25B02611-7FB8-E511-9C31-005056861309	DTS- Teknion- 2028
3A04501F-7FB8-E511-9C31-005056861309	DTS- Teknion- Clubtalk 1 and 2
17F5F5A9-7FB8-E511-9C31-005056861309	Fox Chase Cancer Center - Philadelphia - PET MRI
31792F56-80B8-E511-9C31-005056861309	Fox Chase Cancer Center - Philadelphia - Linear Accelerator
F73B765C-80B8-E511-9C31-005056861309	DTS - University of Toronto - Mississauga Conference Room
0F886283-80B8-E511-9C31-005056861309	DTS - University of Toronto - Mississauga Staff Lounge
CB7A5FD6-80B8-E511-9C31-005056861309	DTS- Forum Equity Partner- 202
ED327EF9-80B8-E511-9C31-005056861309	DTS- Forum Equity Partner- 203
F0AE0009-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner 210
3483D912-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner 219
A348132E-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner 221
5618583B-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner team room
4273A14A-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner Boardroom
4E5B985C-81B8-E511-9C31-005056861309	DTS- Forum Equity Partner reception
B2923197-87B8-E511-9C31-005056861309	DTS- Minuch Reinsurance- VTC room
FD8C804E-BAB8-E511-9C31-005056861309	Peirce College - Philadelphia - Classroom 42
4377C365-24B9-E511-9C31-005056861309	Robert Wood Johnson University Hospital - New Brunswick, NJ - Boardroom (5th Floor)
A1ED0DB8-30B9-E511-9C31-005056861309	Arcadia - Glenside - Soccer Field
B52BB0B9-E7B9-E511-9C31-005056861309	Lash Group - AmerisourceBergen - SC - Beaufort
59467611-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - U Penn 001
54BFF033-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Frank Lloyd Wright 629
3A700C52-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Andrew Wyeth 615
1854526B-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Marian Anderson 600
865F5088-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Spring Garden 205
942CB2B2-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Congress Hall 101
F9B0E0D2-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Penn State 008
1594E4F0-F6B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Villanova 005
AD907D0C-F7B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Temple 004
EBB77270-F7B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Thaddeus Stevens 608
89ABAF80-F8B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Room 506
8FE978A1-F8B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Milton Hershey 309
0C8F9EBB-F8B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - John Wanamaker 303
